loan_id,borrower_id,current_balance,interest_rate,payment_status,days_past_due,servicer_name,last_payment_date,last_updated_at,document_status,source_system
LN-00198,BR-03198,214586.74,5.8,Current,0,Northstar Servicing,2026-04-17,2026-06-20T00:00:00Z,Complete,servicer_update.csv
LN-00199,BR-03199,48183.07,3.96,Current,0,Atlas Loan Co.,2026-05-24,2026-06-28T00:00:00Z,Complete,servicer_update.csv
LN-00200,BR-03200,133896.81,12.16,Current,0,Northstar Servicing,2026-06-27,2026-07-23T00:00:00Z,Complete,servicer_update.csv
LN-00201,BR-03201,115802.76,8.78,Current,0,Pioneer Credit,2026-06-25,2026-07-06T00:00:00Z,Complete,servicer_update.csv
LN-00202,BR-03202,276846.9,9.58,Current,0,Harbor Servicing,2026-04-03,2026-04-08T00:00:00Z,Complete,servicer_update.csv
LN-00203,BR-03203,87960.95,10.98,Current,0,Atlas Loan Co.,2026-06-05,2026-06-15T00:00:00Z,Complete,servicer_update.csv
LN-00204,BR-03204,195912.42,7.68,Current,0,Pioneer Credit,2026-04-29,2026-04-22T00:00:00Z,Complete,servicer_update.csv
LN-00205,BR-03205,102191.59,7.11,Current,0,Blue Ridge Servicing,2026-04-06,2026-04-06T00:00:00Z,Complete,servicer_update.csv
LN-00206,BR-03206,136953.7,3.65,Current,0,Pioneer Credit,2026-06-06,2026-05-15T00:00:00Z,Complete,servicer_update.csv
LN-00207,BR-03207,0,5.47,Closed,0,Harbor Servicing,2026-07-27,2026-07-21T00:00:00Z,Complete,servicer_update.csv
LN-00208,BR-03208,222781.57,7.54,Current,0,Northstar Servicing,2026-05-27,2026-07-16T00:00:00Z,Complete,servicer_update.csv
LN-00209,BR-03209,52158.21,7.09,Current,0,Pioneer Credit,2026-04-26,2026-04-30T00:00:00Z,Complete,servicer_update.csv
LN-00210,BR-03210,56132.51,10.49,Current,0,Blue Ridge Servicing,2026-05-25,2026-05-25T00:00:00Z,Complete,servicer_update.csv
LN-00211,BR-03211,41176.47,3.59,Late,30,Northstar Servicing,2026-07-03,2026-04-03T00:00:00Z,Complete,servicer_update.csv
LN-00212,BR-03212,166514.19,11.0,Current,0,Pioneer Credit,2026-07-01,2026-08-01T00:00:00Z,Complete,servicer_update.csv
LN-00213,BR-03213,169768.01,5.6,Current,0,Blue Ridge Servicing,2026-07-01,2026-04-08T00:00:00Z,Complete,servicer_update.csv
LN-00214,BR-03214,151927.7,9.81,Current,0,Harbor Servicing,2026-06-22,2026-07-09T00:00:00Z,Complete,servicer_update.csv
LN-00215,BR-03215,213688.17,7.62,Current,0,Blue Ridge Servicing,2026-06-26,2026-06-21T00:00:00Z,Complete,servicer_update.csv
LN-00216,BR-03216,185683.92,10.86,Current,0,Pioneer Credit,2026-07-07,2026-06-03T00:00:00Z,Complete,servicer_update.csv
LN-00217,BR-03217,107618.2,12.06,Current,0,Northstar Servicing,2026-04-24,2026-04-13T00:00:00Z,Complete,servicer_update.csv
LN-00218,BR-03218,129028.56,3.68,Current,0,Harbor Servicing,2026-06-08,2026-04-22T00:00:00Z,Complete,servicer_update.csv
LN-00219,BR-03219,258867.91,4.91,Current,0,Harbor Servicing,2026-07-03,2026-07-31T00:00:00Z,Complete,servicer_update.csv
LN-00220,BR-03220,15484.38,4.29,Current,0,Blue Ridge Servicing,2026-06-10,2026-07-10T00:00:00Z,Complete,servicer_update.csv
LN-00221,BR-03221,180725.9,4.47,Current,0,Summit Financial,2026-07-30,2026-05-02T00:00:00Z,Complete,servicer_update.csv
LN-00222,BR-03222,49230.38,5.01,Current,0,Harbor Servicing,2026-06-14,2026-05-10T00:00:00Z,Complete,servicer_update.csv
LN-00223,BR-03223,109538.27,10.68,Delinquent,60,Atlas Loan Co.,2026-07-31,2026-07-27T00:00:00Z,Complete,servicer_update.csv
LN-00224,BR-03224,95957.43,10.99,Current,0,Atlas Loan Co.,2026-04-13,2026-04-09T00:00:00Z,Partial,servicer_update.csv
LN-00225,BR-03225,126154.93,4.12,Current,0,Blue Ridge Servicing,2026-05-16,2026-06-13T00:00:00Z,Complete,servicer_update.csv
LN-00226,BR-03226,255882.6,8.28,Current,0,Northstar Servicing,2026-04-30,2026-05-14T00:00:00Z,Complete,servicer_update.csv
LN-00227,BR-03227,345481.99,9.29,Delinquent,15,Atlas Loan Co.,2026-04-04,2026-06-21T00:00:00Z,Complete,servicer_update.csv
LN-00228,BR-03228,224622.53,9.39,Current,0,Northstar Servicing,2026-05-08,2026-06-30T00:00:00Z,Complete,servicer_update.csv
LN-00229,BR-03229,177806.64,9.25,Current,0,Summit Financial,2026-07-24,2026-04-16T00:00:00Z,Complete,servicer_update.csv
LN-00230,BR-03230,135606.96,7.79,Current,0,Summit Financial,2026-05-15,2026-06-17T00:00:00Z,Complete,servicer_update.csv
LN-00231,BR-03231,61380.66,9.77,Current,0,Summit Financial,2026-07-18,2026-07-10T00:00:00Z,Complete,servicer_update.csv
LN-00232,BR-03232,72013.12,11.65,Current,0,Summit Financial,2026-06-03,2026-04-20T00:00:00Z,Complete,servicer_update.csv
LN-00233,BR-03233,52415.35,4.43,Current,0,Atlas Loan Co.,2026-07-04,2026-04-24T00:00:00Z,Complete,servicer_update.csv
LN-00234,BR-03234,52924.52,9.88,Current,0,Blue Ridge Servicing,2026-04-25,2026-07-07T00:00:00Z,Missing,servicer_update.csv
LN-00235,BR-03235,26271.11,11.79,Current,0,Harbor Servicing,2026-04-07,2026-06-05T00:00:00Z,Complete,servicer_update.csv
LN-00236,BR-03236,69663.65,13.02,Current,0,Summit Financial,2026-06-29,2026-04-27T00:00:00Z,Complete,servicer_update.csv
LN-00237,BR-03237,239759.16,7.76,Current,0,Blue Ridge Servicing,2026-05-15,2026-04-18T00:00:00Z,Complete,servicer_update.csv
LN-00238,BR-03238,351127.35,6.55,Current,0,Blue Ridge Servicing,2026-05-19,2026-07-17T00:00:00Z,Complete,servicer_update.csv
LN-00239,BR-03239,92958.03,11.23,Late,30,Blue Ridge Servicing,2026-04-23,2026-06-04T00:00:00Z,Complete,servicer_update.csv
LN-00240,BR-03240,124070.41,11.58,Current,0,Northstar Servicing,2026-04-30,2026-07-22T00:00:00Z,Complete,servicer_update.csv
LN-00241,BR-03241,14361.87,5.17,Current,0,Pioneer Credit,2026-05-07,2026-06-05T00:00:00Z,Complete,servicer_update.csv
LN-00242,BR-03242,86897.04,6.59,Current,0,Atlas Loan Co.,2026-07-03,2026-04-03T00:00:00Z,Partial,servicer_update.csv
LN-00243,BR-03243,129027.58,4.01,Current,0,Atlas Loan Co.,2026-04-25,2026-05-18T00:00:00Z,Complete,servicer_update.csv
LN-00244,BR-03244,311512.36,9.99,Current,0,Blue Ridge Servicing,2026-06-07,2026-06-18T00:00:00Z,Complete,servicer_update.csv
LN-00245,BR-03245,365211.8,3.72,Current,0,Harbor Servicing,2026-05-16,2026-05-07T00:00:00Z,Complete,servicer_update.csv
LN-00246,BR-03246,42744.21,7.69,Current,0,Pioneer Credit,2026-07-27,2026-05-16T00:00:00Z,Complete,servicer_update.csv
LN-00247,BR-03247,112533.3,12.33,Current,0,Harbor Servicing,2026-04-03,2026-07-10T00:00:00Z,Complete,servicer_update.csv
LN-00248,BR-03248,88313.57,10.94,Current,0,Harbor Servicing,2026-07-14,2026-06-16T00:00:00Z,Partial,servicer_update.csv
LN-00249,BR-03249,370024.69,11.34,Current,0,Pioneer Credit,2026-07-23,2026-05-07T00:00:00Z,Complete,servicer_update.csv
LN-00250,BR-03250,143374.66,5.51,Current,0,Atlas Loan Co.,2026-06-06,2026-05-01T00:00:00Z,Complete,servicer_update.csv
